,Канавинский мост 1,Канавинский мост 2,Вокзал,Метромост 1,Метромост 2,Молитовский мост 1,Молитовский мост 2,Мызинский мост 2,Борский мост 1,Борский мост 2,Паромная переправа 1,Паромная переправа 2,Памятник Горькому,Борский музей военной техники,Борский краеведческий музей,Неклюдово,Музей Сахарова,Зоопарк,Копосовская дубрава,Стрелка,Собор Александра Невского,Нижегородская ярмарка,Мещерское озеро,Парк 1 мая,Нижегородский планетарий,Спасский Староярмарочный собор,Кремль,Памятник Минину и Пожарскому,Чкаловская лестница,Рождественская церковь,Домик Петра 1,Набережная Федоровского,Усадьба Рукавишниковых,Церковь Рождества Иоанна Предтечи на Торгу,Благовещенский монастырь,Нижне-Волжская набережная,Большая Покровская улица,Большая Покровская улица 2,Площадь Минина и Пожарского,Обзорная площадка на Гремячей горе,Музей истории художественных промыслов,Никольский собор,Музей «Паровозы России»,Русский музей фотографии,Литературный музей им. Горького,Музей народов Нижегородского поволжья,Щёлоковский хутор,Святой источник Пафнутия Балахнинского,Перекресток 1,Перекресток 2,Перекресток 3,Перекресток 4,Мызинский мост 1,Перекресток 5,Перекресток 6,Перекресток 7,Перекресток 8
Канавинский мост 1,0,3,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,3,4,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,3
Канавинский мост 2,3,0,5,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,6,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Вокзал,-,5,0,-,2,-,6,-,-,5,-,-,-,-,-,-,-,-,-,-,-,3,3,4,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,3,-,-,-,-,-,-
Метромост 1,4,-,-,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-
Метромост 2,-,4,2,3,0,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Молитовский мост 1,-,-,-,-,-,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,-,-
Молитовский мост 2,-,-,6,-,8,2,0,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,5,-,-,-,-,-,-
Мызинский мост 2,-,-,-,-,-,-,6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,8,-,-,-,3,-,-,-,-
Борский мост 1,-,-,-,-,-,-,-,-,0,3,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Борский мост 2,-,-,5,-,-,-,-,-,3,0,-,-,-,-,-,-,-,-,-,8,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-
